,Year,Winning team,Score,Losing team,Stadium,City,Attendance,Referee
0,2020,Kansas City Chiefs,31-20,San Francisco 49ers,Hard Rock Stadium,Miami Gardens,62417,Bill Vinovich
1,2019,New England Patriots,13-3,Los Angeles Rams,Mercedes-Benz Stadium,Atlanta,70081,John Parry
2,2018,Philadelphia Eagles,41-33,New England Patriots,U.S. Bank Stadium,Minneapolis,67612,Gene Steratore
3,2017,New England Patriots,34-28,Atlanta Falcons,NRG Stadium,Houston,70807,Carl Cheffers
4,2016,Denver Broncos,24-10,Carolina Panthers,Levi's Stadium,Santa Clara,71088,Clete Blakeman
5,2015,New England Patriots,28-24,Seattle Seahawks,University of Phoenix Stadium,Glendale,70288,Bill Vinovich
6,2014,Seattle Seahawks,43-8,Denver Broncos,MetLife Stadium,East Rutherford,82529,Terry McAulay
7,2013,Baltimore Ravens,34-31,San Francisco 49ers,Mercedes-Benz Superdome,New Orleans,71024,Jerome Boger
8,2012,New York Giants,21-17,New England Patriots,Lucas Oil Stadium,Indianapolis,68658,John Parry
9,2011,Green Bay Packers,31-25,Pittsburgh Steelers,Cowboys Stadium,Arlington,103219,Walt Anderson[5]
10,2010,New Orleans Saints,31-17,Indianapolis Colts,Sun Life Stadium,Miami Gardens,74059,Scott Green[4]
11,2009,Pittsburgh Steelers,27-23,Arizona Cardinals,Raymond James Stadium,Tampa,70774,Terry McAulay
12,2008,New York Giants,17-14,New England Patriots,University of Phoenix Stadium,Glendale,71101,Mike Carey[3]
13,2007,Indianapolis Colts,29-17,Chicago Bears,Dolphin Stadium,Miami Gardens,74512,Tony Corrente
14,2006,Pittsburgh Steelers,21-10,Seattle Seahawks,Ford Field,Detroit,68206,Bill Leavy
15,2005,New England Patriots,24-21,Philadelphia Eagles,Alltel Stadium,Jacksonville,78125,Terry McAulay
16,2004,New England Patriots,32-29,Carolina Panthers,Reliant Stadium,Houston,71525,Ed Hochuli
17,2003,Tampa Bay Buccaneers,48-21,Oakland Raiders,Qualcomm Stadium,San Diego,67603,Bill Carollo
18,2002,New England Patriots,20-17,St. Louis Rams,Louisiana Superdome,New Orleans,72922,Bernie Kukar
19,2001,Baltimore Ravens,34-7,New York Giants,Raymond James Stadium,Tampa,71921,Gerald Austin
20,2000,St. Louis Rams,23-16,Tennessee Titans,Georgia Dome,Atlanta,72625,Bob McElwee
21,1999,Denver Broncos,34-19,Atlanta Falcons,Pro Player Stadium,Miami Gardens,74803,Bernie Kukar
22,1998,Denver Broncos,31-24,Green Bay Packers,Qualcomm Stadium,San Diego,68912,Ed Hochuli
23,1997,Green Bay Packers,35-21,New England Patriots,Louisiana Superdome,New Orleans,72301,Gerald Austin
24,1996,Dallas Cowboys,27-17,Pittsburgh Steelers,Sun Devil Stadium,Tempe,76347,Red Cashion
25,1995,San Francisco 49ers,49-26,San Diego Chargers,Joe Robbie Stadium,Miami Gardens,74107,Jerry Markbreit
26,1994,Dallas Cowboys,30-13,Buffalo Bills,Georgia Dome,Atlanta,72817,Bob McElwee
27,1993,Dallas Cowboys,52-17,Buffalo Bills,Rose Bowl,Pasadena,98374,Dick Hantak
28,1992,Washington Redskins,37-24,Buffalo Bills,Metrodome,Minneapolis,63130,Jerry Markbreit
29,1991,New York Giants,20-19,Buffalo Bills,Tampa Stadium,Tampa,73813,Jerry Seeman
30,1990,San Francisco 49ers,55-10,Denver Broncos,Louisiana Superdome,New Orleans,72919,Dick Jorgensen
31,1989,San Francisco 49ers,20-16,Cincinnati Bengals,Joe Robbie Stadium,Miami Gardens,75129,Jerry Seeman
32,1988,Washington Redskins,42-10,Denver Broncos,Jack Murphy Stadium,San Diego,73302,Bob McElwee
33,1987,New York Giants,39-20,Denver Broncos,Rose Bowl,Pasadena,101063,Jerry Markbreit
34,1986,Chicago Bears,46-10,New England Patriots,Louisiana Superdome,New Orleans,73818,Red Cashion
35,1985,San Francisco 49ers,38-16,Miami Dolphins,Stanford Stadium,Palo Alto,84059,Pat Haggerty
36,1984,Los Angeles Raiders,38-9,Washington Redskins,Tampa Stadium,Tampa,72920,Gene Barth
37,1983,Washington Redskins,27-17,Miami Dolphins,Rose Bowl,Pasadena,103667,Jerry Markbreit
38,1982,San Francisco 49ers,26-21,Cincinnati Bengals,Pontiac Silverdome,Pontiac,81270,Pat Haggerty
39,1981,Oakland Raiders,27-10,Philadelphia Eagles,Louisiana Superdome,New Orleans,76135,Ben Dreith
40,1980,Pittsburgh Steelers,31-19,Los Angeles Rams,Rose Bowl,Pasadena,103985,Fred Silva
41,1979,Pittsburgh Steelers,35-31,Dallas Cowboys,Orange Bowl,Miami,79484,Pat Haggerty
42,1978,Dallas Cowboys,27-10,Denver Broncos,Superdome,New Orleans,76400,Jim Tunney
43,1977,Oakland Raiders,32-14,Minnesota Vikings,Rose Bowl,Pasadena,103438,Jim Tunney
44,1976,Pittsburgh Steelers,21-17,Dallas Cowboys,Orange Bowl,Miami,80187,Norm Schachter
45,1975,Pittsburgh Steelers,16-6,Minnesota Vikings,Tulane Stadium,New Orleans,80997,Bernie Ulman
46,1974,Miami Dolphins,24-7,Minnesota Vikings,Rice Stadium,Houston,71882,Ben Dreith
47,1973,Miami Dolphins,14-7,Washington Redskins,Memorial Coliseum,Los Angeles,90182,Tom Bell
48,1972,Dallas Cowboys,24-3,Miami Dolphins,Tulane Stadium,New Orleans,81023,Jim Tunney
49,1971,Baltimore Colts,16-13,Dallas Cowboys,Orange Bowl,Miami,79204,Norm Schachter
50,1970,Kansas City Chiefs,23-7,Minnesota Vikings,Tulane Stadium,New Orleans,80562,
51,1969,New York Jets,16-7,Baltimore Colts,Orange Bowl,Miami,75389,
52,1968,Green Bay Packers,33-14,Oakland Raiders,Orange Bowl,Miami,75546,
53,1967,Green Bay Packers,35-10,Kansas City Chiefs,Memorial Coliseum,Los Angeles,61946,
