,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,USA,"31,717,404",,"573,856",,"24,272,869",,"6,870,679","9,121","95,392","1,726","415,167,153","1,248,642","332,494,997",North America,10,579,1
1,Brazil,"13,286,324",,"345,287",,"11,732,193",,"1,208,844","8,318","62,167","1,616","28,600,000","133,820","213,720,582",South America,16,619,7
2,India,"13,060,542","+2,588","167,694",,"11,913,292","+2,551","979,556","8,944","9,393",121,"254,041,584","182,709","1,390,419,871",Asia,106,"8,291",5
3,France,"4,939,258",,"98,065",,"303,639",,"4,537,554","5,729","75,541","1,500","68,007,540","1,040,114","65,384,711",Europe,13,667,1
4,Russia,"4,623,984","+9,150","102,247",+402,"4,248,700","+9,662","273,037","2,300","31,675",700,"123,000,000","842,566","145,982,669",Europe,32,"1,428",1
5,UK,"4,370,321",,"126,980",,"3,945,354",,"297,987",440,"64,118","1,863","133,233,062","1,954,703","68,160,254",Europe,16,537,1
6,Italy,"3,717,602",,"112,861",,"3,060,411",,"544,330","3,663","61,557","1,869","52,117,901","862,975","60,393,289",Europe,16,535,1
7,Turkey,"3,689,866",,"33,201",,"3,232,892",,"423,773","2,615","43,392",390,"40,689,742","478,503","85,035,491",Asia,23,"2,561",2
8,Spain,"3,336,637",,"76,179",,"3,088,946",,"171,512","2,024","71,343","1,629","43,458,915","929,230","46,768,730",Europe,14,614,1
9,Germany,"2,951,829",,"78,473",,"2,647,600","+16,200","225,756","4,439","35,145",934,"51,559,277","613,873","83,990,125",Europe,28,"1,070",2
10,Poland,"2,528,006","+28,487","57,427",+768,"2,107,776","+31,272","362,803","3,376","66,853","1,519","12,807,584","338,694","37,814,661",Europe,15,658,3
11,Colombia,"2,492,081",,"65,014",,"2,355,832",,"71,235","2,603","48,579","1,267","13,109,505","255,550","51,299,093",South America,21,789,4
12,Argentina,"2,473,751",,"57,122",,"2,188,983",,"227,646","3,742","54,351","1,255","9,361,097","205,674","45,514,231",South America,18,797,5
13,Mexico,"2,267,019","+5,140","206,146",+548,"1,802,033","+3,376","258,840","4,798","17,442","1,586","6,216,314","47,828","129,972,374",North America,57,630,21
14,Iran,"2,006,934",,"63,884",,"1,684,570",,"258,480","4,221","23,662",753,"13,412,327","158,132","84,817,252",Asia,42,"1,328",6
15,Ukraine,"1,823,674","+19,676","36,381",+419,"1,395,104","+11,221","392,189",177,"41,894",836,"8,568,004","196,826","43,530,905",Europe,24,"1,197",5
16,Peru,"1,617,864",,"53,978",,"1,537,085",,"26,801","2,246","48,550","1,620","9,790,744","293,806","33,323,855",South America,21,617,3
17,Czechia,"1,573,153","+5,245","27,617",+60,"1,437,295",+332,"108,241","1,311","146,691","2,575","14,038,491","1,309,038","10,724,279",Europe,7,388,1
18,Indonesia,"1,558,145","+5,265","42,348",+121,"1,405,659","+6,277","110,138",,"5,651",154,"13,280,778","48,164","275,743,315",Asia,177,"6,511",21
19,South Africa,"1,554,975",,"53,173",,"1,480,632",,"21,170",546,"25,967",888,"10,055,899","167,928","59,882,081",Africa,39,"1,126",6
20,Netherlands,"1,327,136",,"16,691",,N/A,N/A,N/A,788,"77,321",972,"10,795,845","628,980","17,164,061",Europe,13,"1,028",2
21,Chile,"1,051,270",,"23,979",,"986,285",,"41,006","3,044","54,633","1,246","11,673,902","606,681","19,242,232",South America,18,802,2
22,Canada,"1,036,023",,"23,211",,"948,521",,"64,291",835,"27,266",611,"28,579,065","752,154","37,996,296",North America,37,"1,637",1
23,Romania,"998,555","+4,942","24,867",+134,"896,573","+6,045","77,115","1,496","52,175","1,299","7,630,875","398,717","19,138,587",Europe,19,770,3
24,Belgium,"913,057","+4,845","23,348",+47,"58,902",+334,"830,807",908,"78,519","2,008","11,571,305","995,088","11,628,425",Europe,13,498,1
25,Iraq,"903,439",,"14,606",,"799,327",,"89,506",454,"22,083",357,"8,380,401","204,841","40,911,681",Asia,45,"2,801",5
26,Sweden,"849,629",,"13,595",,N/A,N/A,N/A,345,"83,726","1,340","7,530,772","742,118","10,147,676",Europe,12,746,1
27,Philippines,"840,554","+12,225","14,520",+401,"647,683",+946,"178,351",785,"7,593",131,"10,572,920","95,510","110,699,135",Asia,132,"7,624",10
28,Israel,"835,641",+155,"6,280",+1,"824,947",+199,"4,414",276,"90,854",683,"13,729,129","1,492,688","9,197,590",Asia,11,"1,465",1
29,Portugal,"825,633",,"16,899",,"782,895",,"25,839",122,"81,153","1,661","9,363,361","920,343","10,173,778",Europe,12,602,1
30,Pakistan,"710,829","+5,312","15,229",+105,"625,789","+2,390","69,811","4,116","3,171",68,"10,639,825","47,463","224,171,734",Asia,315,"14,720",21
31,Hungary,"705,815","+7,325","22,966",+285,"420,275",+510,"262,574","1,364","73,206","2,382","4,861,310","504,210","9,641,434",Europe,14,420,2
32,Bangladesh,"666,132",,"9,521",,"565,030",,"91,581",,"4,014",57,"4,915,758","29,622","165,948,880",Asia,249,"17,430",34
33,Jordan,"655,456",,"7,565",,"576,771",,"71,120",729,"63,755",736,"6,238,652","606,820","10,280,889",Asia,16,"1,359",2
34,Serbia,"633,013",,"5,620",,"541,317",,"86,076",265,"72,675",645,"3,547,832","407,318","8,710,216",Europe,14,"1,550",2
35,Switzerland,"615,024",,"10,445",,"556,090",,"48,489",189,"70,666","1,200","6,300,365","723,909","8,703,258",Europe,14,833,1
36,Austria,"571,616","+2,702","9,624",+38,"529,191","+3,509","32,801",580,"63,191","1,064","26,161,838","2,892,118","9,045,911",Europe,16,940,0
37,Morocco,"500,323",,"8,873",,"486,913",,"4,537",235,"13,433",238,"6,065,577","162,851","37,246,137",Africa,74,"4,198",6
38,Japan,"492,875",,"9,301",,"457,050",,"26,524",464,"3,906",74,"10,244,852","81,194","126,177,823",Asia,256,"13,566",12
39,Lebanon,"489,428",,"6,549",,"395,261",,"87,618",880,"71,955",963,"3,653,828","537,181","6,801,858",Asia,14,"1,039",2
40,UAE,"480,006","+1,875","1,526",+3,"464,971","+1,939","13,509",,"48,087",153,"39,784,257","3,985,579","9,982,053",Asia,21,"6,541",0
41,Saudi Arabia,"395,854",,"6,728",,"381,658",,"7,468",874,"11,237",191,"15,605,861","442,982","35,229,096",Asia,89,"5,236",2
42,Slovakia,"369,393",+923,"10,411",+89,"255,300",,"103,682",545,"67,634","1,906","2,420,747","443,224","5,461,679",Europe,15,525,2
43,Bulgaria,"367,376",,"14,170",,"281,979",,"71,227",813,"53,181","2,051","2,240,606","324,348","6,908,041",Europe,19,488,3
44,Panama,"357,704",,"6,152",,"347,060",,"4,492",105,"81,915","1,409","2,214,840","507,202","4,366,782",North America,12,710,2
45,Malaysia,"357,607","+1,854","1,313",+5,"341,489","+1,247","14,805",169,"10,941",40,"8,104,421","247,963","32,683,955",Asia,91,"24,893",4
46,Ecuador,"341,619",,"17,115",,"290,314",,"34,190",582,"19,140",959,"1,180,328","66,131","17,848,265",South America,52,"1,043",15
47,Belarus,"333,430","+1,622","2,334",+10,"323,748","+1,525","7,348",,"35,295",247,"5,516,682","583,966","9,446,928",Europe,28,"4,048",2
48,Croatia,"288,364","+2,599","6,235",+50,"268,929","+2,116","13,200",175,"70,579","1,526","1,619,663","396,420","4,085,720",Europe,14,655,3
49,Greece,"288,230",,"8,680",,"240,926",,"38,624",776,"27,758",836,"6,936,671","668,031","10,383,761",Europe,36,"1,196",1
50,Georgia,"287,183",+777,"3,858",+9,"276,426",+342,"6,899",,"72,097",969,"3,620,829","909,011","3,983,263",Asia,14,"1,032",1
51,Nepal,"279,388",+288,"3,038",,"273,735",+127,"2,615",,"9,459",103,"2,306,244","78,078","29,537,740",Asia,106,"9,723",13
52,Bolivia,"279,207","+1,241","12,412",+27,"229,036","+1,224","37,759",71,"23,672","1,052","965,046","81,818","11,795,066",South America,42,950,12
53,Azerbaijan,"279,181",,"3,811",,"245,881",,"29,489",,"27,346",373,"2,977,593","291,653","10,209,357",Asia,37,"2,679",3
54,Tunisia,"266,827",,"9,136",,"222,461",,"35,230",388,"22,397",767,"1,161,018","97,454","11,913,530",Africa,45,"1,304",10
55,Kazakhstan,"263,943","+2,440","3,190",+19,"231,324","+1,786","29,429",221,"13,929",168,"9,051,176","477,660","18,948,974",Asia,72,"5,940",2
56,Palestine,"262,017",,"2,781",,"227,988",,"31,248",201,"50,466",536,"1,605,666","309,262","5,191,932",Asia,20,"1,867",3
57,Dominican Republic,"256,031",,"3,378",,"215,405",,"37,248",162,"23,422",309,"1,336,261","122,240","10,931,413",North America,43,"3,236",8
58,Kuwait,"242,848",,"1,383",,"227,260",,"14,205",206,"56,228",320,"2,131,155","493,442","4,318,956",Asia,18,"3,123",2
59,Ireland,"239,723",,"4,737",,"23,364",,"211,622",60,"48,136",951,"4,136,374","830,580","4,980,105",Europe,21,"1,051",1
60,Moldova,"239,146",,"5,307",,"219,728",,"14,111",319,"59,390","1,318","888,444","220,636","4,026,733",Europe,17,759,5
61,Denmark,"235,648",,"2,436",,"224,608",,"8,604",37,"40,574",419,"27,981,129","4,817,772","5,807,898",Europe,25,"2,384",0
62,Paraguay,"229,595",,"4,644",,"188,340",,"36,611",438,"31,889",645,"957,029","132,926","7,199,729",South America,31,"1,550",8
63,Slovenia,"224,699","+1,279","4,100",+3,"206,688","+1,033","13,911",138,"108,072","1,972","1,096,266","527,264","2,079,158",Europe,9,507,2
64,Lithuania,"224,309","+1,155","3,660",+13,"204,340",+537,"16,309",161,"83,297","1,359","2,462,223","914,343","2,692,888",Europe,12,736,1
65,Ethiopia,"223,665",,"3,078",,"166,752",,"53,835",892,"1,909",26,"2,422,730","20,683","117,135,713",Africa,524,"38,056",48
66,Costa Rica,"219,846",,"3,000",,"193,857",,"22,989",194,"42,856",585,"842,015","164,141","5,129,838",North America,23,"1,710",6
67,Egypt,"208,082",,"12,323",,"157,889",,"37,870",90,"2,004",119,"2,507,491","24,155","103,810,497",Africa,499,"8,424",41
68,Armenia,"201,158","+1,029","3,697",+22,"180,160","+1,117","17,301",,"67,787","1,246","894,461","301,418","2,967,508",Asia,15,803,3
69,Guatemala,"199,964",,"6,955",,"183,131",,"9,878",5,"11,006",383,"1,087,650","59,863","18,169,057",North America,91,"2,612",17
70,Honduras,"193,783",+754,"4,715",+12,"74,759",+460,"114,309",512,"19,330",470,"533,891","53,255","10,025,234",North America,52,"2,126",19
71,Qatar,"187,150",,322,,"168,001",,"18,827",428,"66,653",115,"1,786,516","636,268","2,807,805",Asia,15,"8,720",2
72,Bosnia and Herzegovina,"180,831",,"7,216",,"138,294",,"35,321",,"55,384","2,210","829,803","254,146","3,265,062",Europe,18,452,4
73,Venezuela,"171,373",,"1,720",,"154,811",,"14,842",237,"6,040",61,"3,359,014","118,384","28,373,800",South America,166,"16,496",8
74,Oman,"168,005",,"1,747",,"149,969",,"16,289",204,"32,274",336,"1,550,000","297,753","5,205,662",Asia,31,"2,980",3
75,Libya,"166,156",,"2,799",,"151,853",,"11,504",,"23,932",403,"901,814","129,890","6,942,910",Africa,42,"2,480",8
76,Nigeria,"163,581",,"2,058",,"154,005",,"7,518",11,779,10,"1,803,177","8,585","210,036,726",Africa,"1,284","102,059",116
77,Bahrain,"153,074",,548,,"141,911",,"10,615",72,"87,647",314,"3,724,104","2,132,340","1,746,487",Asia,11,"3,187",0
78,Kenya,"143,063",,"2,292",,"97,650",,"43,121",235,"2,617",42,"1,542,088","28,204","54,675,853",Africa,382,"23,855",35
79,Myanmar,"142,558",+9,"3,206",,"131,845",+11,"7,507",,"2,607",59,"2,549,607","46,619","54,690,154",Asia,384,"17,059",21
80,North Macedonia,"138,891",,"4,108",,"112,619",,"22,164",124,"66,668","1,972","655,924","314,847","2,083,308",Europe,15,507,3
81,Uruguay,"130,657",,"1,275",,"101,241",,"28,141",437,"37,513",366,"1,488,362","427,323","3,482,994",South America,27,"2,732",2
82,Albania,"127,509",,"2,297",,"96,129",,"29,083",18,"44,345",799,"576,337","200,439","2,875,375",Europe,23,"1,252",5
83,Algeria,"118,116",,"3,119",,"82,289",,"32,708",19,"2,657",70,"230,861","5,193","44,456,826",Africa,376,"14,254",193
84,Estonia,"113,098",+677,"1,006",+16,"92,862","+1,073","19,230",70,"85,214",758,"1,186,998","894,348","1,327,222",Europe,12,"1,319",1
85,S. Korea,"108,269",+671,"1,764",+6,"98,786",+426,"7,719",113,"2,110",34,"8,059,113","157,088","51,303,171",Asia,474,"29,083",6
86,Latvia,"106,574",+658,"1,981",+18,"97,612",,"6,981",87,"56,989","1,059","2,003,893","1,071,560","1,870,071",Europe,18,944,1
87,Norway,"101,960",,684,,"88,952",,"12,324",61,"18,695",125,"4,797,650","879,688","5,453,809",Europe,53,"7,973",1
88,Sri Lanka,"94,336",,593,,"91,044",,"2,699",,"4,391",28,"2,374,627","110,539","21,482,323",Asia,228,"36,227",9
89,Montenegro,"93,566",,"1,345",,"87,388",,"4,833",69,"148,960","2,141","348,152","554,270","628,127",Europe,7,467,2
90,Ghana,"91,109",,752,,"88,971",,"1,386",32,"2,886",24,"1,020,874","32,338","31,568,542",Africa,346,"41,979",31
91,Kyrgyzstan,"89,811",+151,"1,516",,"85,719",+112,"2,576",24,"13,594",229,"891,875","134,998","6,606,598",Asia,74,"4,358",7
92,Zambia,"89,592",,"1,225",,"85,446",,"2,921",76,"4,772",65,"1,286,686","68,528","18,776,107",Africa,210,"15,327",15
93,Uzbekistan,"84,529",+207,634,,"82,415",+181,"1,480",23,"2,498",19,"1,377,915","40,717","33,840,856",Asia,400,"53,377",25
94,Cuba,"83,515",,443,,"77,953",,"5,119",77,"7,377",39,"3,149,346","278,179","11,321,288",North America,136,"25,556",4
95,Finland,"81,261",+419,868,+2,"46,000",,"34,393",41,"14,649",156,"4,108,220","740,574","5,547,348",Europe,68,"6,391",1
96,Mozambique,"68,466",,788,,"58,129",,"9,549",68,"2,145",25,"492,119","15,416","31,922,403",Africa,466,"40,511",65
