,nombre,renta_media_disponible,Codigo_postal
0, Almería ,21.136,04013
1, Centro Rambla  Centro Paseo  Plaza de Toros  Catedral ,36.352,04001
2, La Chanca  Las Cuevas de S.Joaquín  Urb.Las Pedrizas  Col.del Morato Almedina ,17.69,04002
3, Pza.de la Constitución  Cerro San Cristobal Barrio de las Cruces  El Santo ,20.935,04003
4, Oliveros  Santa Rita ,26.8,04004
5, Barrio Alto  Col.Montserrat Altamira ,22.688,04005
6, Nueva Andalucía  Regiones Devastadas  El Diezmo  La Bolera  Los Molinos ,21.973,04006
7, 500 viviendas  El Zapillo  Cortijo Grande  Ciudad Jardín  La Bolera ,23.786,04007
8, La Molineta  Las Trincheras  LosÁngeles  La Fuentecica Barrio de la Esperanza ,17.041,04008
9, El Puche  La Loma  Las Chocillas  Torre Cárdenas ,19.53,04009
10, El Bobar  La Cañada  Costacabana  Loma Cabrera  El Mamí  Venta Gaspar ,17.066,04120
11, Alquian ,14.642,04130
12, Retamar ,21.479,04131
13,resto Almería,16.103,04
14, Jerez de la Frontera ,20.64,11020
15, Las Pachecas El Mojo Los Isletes ,18.384,11400
16, Sur ,19.67,11401
17, Centro ,27.209,11402
18, Centro Catedral San Salvador Alcázar ,21.537,11403
19, Hospital de Jerez ,16.979,11404
20, Norte Noreste Granja ,22.24,11405
21, Este Delicias ,19.543,11406
22, Centro ,25.34,11407
23, Oeste Centro ,17.664,11408
24, Garrapilos ,15.621,11570
25, Guadalcacín ,16.905,11591
26,resto Jerez de la Frontera,15.562,11
27, Córdoba ,21.984,14021
28, Ollerías Sta Marina San Lorenzo ,26.032,14001
29, San Pedro Santiago La Magdalena ,22.524,14002
30, Catedral San Francisco ,26.555,14003
31, San Basilio Parque Cruz Conde Alameda Del Obispo ,24.306,14004
32, Miralbaida Palmeras ,22.922,14005
33, Valdeolleros Huerta La Reina ,21.598,14006
34, Levante ,18.252,14007
35, Centro Avenida de América ,30.335,14008
36, Fray Albino ,17.587,14009
37, Fuensanta El Arcángel ,17.642,14010
38, El Tablero ,23.07,14011
39, El Brillante Quitapesares ,31.992,14012
40, Sector Sur Polígono Del Guadalquivir ,16.204,14013
41, Fátima Parque Fidiana Cañero ,18.485,14014
42, Las Jaras Las Ermitas y otros ,24.789,14029
43, Alcolea ,17.493,14610
44, Extrarradio (Villarrubia) ,16.82,14710
45, Encinarejo de Córdoba (Núcleo) ,20.218,14711
46,resto Córdoba,19.392,14
47, Granada ,24.703,18087
48, Centro ,28.782,18001
49, Centro ,28.897,18002
50, Ronda ,24.995,18003
51, Ronda Arabial ,27.902,18004
52, San Antón ,28.807,18005
53, Figares Ciudad Jardín ,24.447,18006
54, Zaidín Vergeles ,18.853,18007
55, Cervantes Palacio de Deportes Bola de Oro Carretera Sierra ,26.189,18008
56, Realejo ,29.001,18009
57, Albaicín Sacromonte ,23.927,18010
58, Norte Beiro ,17.917,18011
59, Plaza de Toros Doctores San Lázaro ,28.532,18012
60, Polígono de Almanjáyar Joaquina Eguaras Sur ,19.673,18013
61, Barrio de Los Periodistas ,26.372,18014
62, La Chana ,20.246,18015
63,resto Granada,22.586,18
64, Málaga ,22.491,29067
65, Ensanche Centro Soho ,31.226,29001
66, El Bulto Jardín de La Abadía La Princesa ,23.463,29002
67, Barceló El Torcal Girón Vistafranca La Cordobesa ,17.775,29003
68, Pol. Ind. Guadalhorce Guadalmar Carretera de Cádiz ,22.211,29004
69, Cruz de Humilladero ,18.957,29006
70, Carranque Hazas Cuevas ,22.62,29007
71, La Goleta San Felipe Neri Centro Histórico ,23.509,29008
72, Perchel Norte La Trinidad ,19.718,29009
73, Bailén Miraflores Suárez Teatinos ,21.837,29010
74, Martírinos La Roca Palma Palmilla ,17.48,29011
75, La Merced Barcenillas Seminario ,23.464,29012
76, Olletas Sierra Blanquilla El Ejido ,21.512,29013
77, Ciudad Jardín ,18.274,29014
78, Malagueta Monte Sancha ,41.045,29016
79, Pedregalejo Morlaco Las Acacias El Palo ,28.877,29017
80, Cerrado de Calderón Hacienda Paredes ,31.053,29018
81, Churriana La Noria Buenavista ,22.133,29140
82, El Chaparral Los Morales Torremar ,21.476,29190
83, Campanillas ,17.859,29590
84, Campanillas Puerto La Torre ,17.701,29591
85,resto Málaga,29.083,29
86, Sevilla ,24.201,41091
87, Casco Antiguo ,34.363,41001
88, Casco Antiguo ,28.077,41002
89, Casco Antiguo Cerro Amate Nervión S.Pablo Sta.Justa ,27.263,41003
90, Casco Antiguo Este Nervión Sur ,35.68,41004
91, Nervión Sur ,27.955,41005
92, Bellavista La Palmera Casco Antiguo Cerro Amate Sur ,17.431,41006
93, Nervión Norte S.Pablo Sta.Justa ,24.287,41007
94, Macarena Norte S.Pablo Sta.Justa ,21.795,41008
95, Casco Antiguo Macarena Norte ,20.409,41009
96, Los Remedios Triana ,24.805,41010
97, Los Remedios Triana ,33.624,41011
98, Bellavista La Palmera Sur ,29.739,41012
99, Bellavista La Palmera Casco Antiguo Nervión Sur ,27.398,41013
100, Bellavista La Palmera ,21.7,41014
101, Este Macarena Norte ,18.391,41015
102, Bellavista La Palmera Cerro Amate Este ,16.848,41016
103, Nervión Sur ,34.511,41018
104, Este Norte S. Pablo Sta.Justa ,18.216,41019
105, Este Norte ,24.479,41020
106,resto Sevilla,19.736,41
107, Zaragoza ,23.961,50297
108, Casco Viejo ,32.814,50001
109, Las Fuentes ,19.874,50002
110, La Almozara ,21.455,50003
111, Centro Paseo de La Independencia ,29.623,50004
112, Centro Cortes de Aragón ,23.769,50005
113, Centro ,29.767,50006
114, Torrero La Paz San José ,20.42,50007
115, Centro  Paseo Sagasta ,28.339,50008
116, Universidad Romareda ,29.719,50009
117, Parque Roma ,20.44,50010
118, Miralbueno ,26.646,50011
119, Oliver Valdefierro Casablanca ,31.301,50012
120, Cartuja Baja ,21.072,50013
121, Rabal ,23.007,50014
122, Parque Goya 1 ,21.209,50015
123, Santa Isabel ,23.326,50016
124, Delicias ,19.628,50017
125, Parque Goya 2 ,23.666,50018
126, Casablanca ,23.289,50019
127, Torrero La Paz Parque Venecia ,24.346,50021
128, Arcosur ,21.739,50022
129, Montañana Barrio Del Saso ,21.816,50059
130, Monzalbarba ,20.189,50120
131, Garrapinillos ,24.347,50190
132, Movera Torre Larraz ,23.596,50194
133, Casetas ,19.249,50620
134, Cartuja Baja ,22.051,50720
135, San Juan de Mozarrifar ,24.024,50820
136,resto Zaragoza,23.859,50
137, Gijón ,23.331,33024
138, Centro Cimadevilla ,27.683,33201
139, La Arena ,25.267,33202
140, La Guía Somió ,31.983,33203
141, El Coto Viesques ,26.225,33204
142, El Llano de Arriba ,23.634,33205
143, Laviada ,28.571,33206
144, El Polígono ,23.0,33207
145, El Llano de Abajo ,20.824,33208
146, Ceares ,20.704,33209
147, Pumarín ,19.168,33210
148, Gijón Sur (Tremañes Roces Nuevo Gijón Montevil) ,21.316,33211
149, Natahoyo ,21.786,33212
150, La Calzada Veriña ,19.937,33213
151, Jove Hospital ,20.468,33290
152, Granda La Camocha ,23.59,33350
153, Castiello Santurio ,24.104,33391
154, Deva Cabueñes ,32.725,33394
155,resto Gijón,23.236,333
156, Oviedo ,24.777,33044
157, Pumarín ,26.939,33001
158, Centro Norte ,27.448,33002
159, Centro Este ,32.572,33003
160, Centro Oeste ,37.954,33004
161, El Cristo ,34.579,33005
162, Buenavista ,27.337,33006
163, Buenavista ,32.956,33007
164, Fuente Del Forno ,24.491,33008
165, Fuente de La Plata ,25.678,33009
166, La Florida ,21.338,33010
167, Corredoria ,21.385,33011
168, Ferreros ,23.535,33012
169, Arganosa ,24.95,33013
170, Área Trubia ,20.3,33119
171, Las Regueras ,22.891,33191
172,resto Oviedo,23.601,331
173, Palma de Mallorca ,25.631,07040
174, Monti Sion ,49.636,07001
175, Centro Mercat ,31.583,07002
176, Centro Sant Jaume ,32.681,07003
177, Son Oliva ,23.996,07004
178, Pere Garau ,21.653,07005
179, Es Portixol ,24.583,07006
180, Coll D En Rabassa ,21.703,07007
181, Son Canals ,19.455,07008
182, Son Cladera ,20.535,07009
183, Cas Capiscol ,24.892,07010
184, El Fortí Son Ximelis ,25.064,07011
185, San Jaume ,47.235,07012
186, Son Rapinya ,28.053,07013
187, Son Dureta ,33.075,07014
188, Cala Major El Terreno ,31.583,07015
189, Son Sardina ,27.162,07120
190, Son Ferriol ,22.902,07198
191, Llevant ,25.567,07199
192, El Arenal ,20.371,07600
193, Can Pastilla ,26.101,07610
194,resto Palma de Mallorca,23.586,07
195, Palmas de Gran Canaria Las ,24.103,35016
196, Cono Sur ,30.083,35001
197, Triana ,35.068,35002
198, Arenales ,31.265,35003
199, Lugo ,29.28,35004
200, Ciudad Jardín ,47.732,35005
201, Alcaravaneras ,26.699,35006
202, Santa Catalina ,27.034,35007
203, Tafira ,27.34,35008
204, La Isleta ,20.767,35009
205, Guanarteme ,25.615,35010
206, Escaleritas ,26.395,35011
207, Schamann ,18.579,35012
208, La Paterna ,17.17,35013
209, Miller ,19.309,35014
210, La Matula ,17.617,35015
211, Vega de San José ,18.1,35016
212, Tafira ,32.272,35017
213, Tamaraceite ,20.631,35018
214, Siete Palmas ,28.71,35019
215, El Cernícalo  Santa Margarita  Mercalaspalmas Hornos del Rey Llanos de cuatro caminos  El Sabinal ,20.771,35229
216,resto Palmas de Gran Canaria Las,21.665,35
217, Santa Cruz de Tenerife ,23.711,38038
218, Rambla de Santa Cruz Puerto ,31.7,38001
219, San Vicente Ferrer Plaza de España ,29.707,38002
220, Av. Constitución Palmetum ,30.499,38003
221, Ifara Parque García Sanabria ,33.177,38004
222, Av Barranco de Santos Tunel Juan Amigo de Lara ,25.202,38005
223, Rambla de Santa Cruz Av Barranco de Santos ,28.497,38006
224, Parque de La Granja ,23.298,38007
225, Parque Las Indias Barranco de Santos ,19.418,38008
226, Universidad de La Laguna Campus Central ,22.042,38009
227, Av. Principes de España ,18.365,38010
228, El Sobradillo La Gallega El Pilar ,18.759,38107
229, San Matías Los Andenes Las Chumberas ,16.08,38108
230, Santa María Del Mar Añaza ,19.879,38111
231, San Andrés Barranco del Cercado  ,18.917,38120
232, Cueva Bermeja Valle Crispín Los Catalanes ,21.283,38180
233,resto Santa Cruz de Tenerife,21.31,38
234, Santander ,24.897,39075
235, Centro Ayuntamiento ,22.177,39001
236, Centro Ayuntamiento ,34.292,39002
237, Centro ,25.246,39003
238, Puerto Chico ,31.317,39004
239, El Sardinero Los Pinares ,31.836,39005
240, San Martín San Roque ,22.554,39006
241, San Fernando General Dávila ,22.386,39007
242, Cuatro Caminos Numancia San Fernando ,21.148,39008
243, Barrio Pesquero (Castilla Hermida) ,21.439,39009
244, Cuatro Caminos San Fernando ,25.95,39010
245, Peñacastillo Alisal ,22.075,39011
246, La Pereda ,27.956,39012
247,resto Santander,22.502,39
248, Burgos ,23.611,09059
249, Universidad Campus San Amaro ,24.529,09001
250, Museo de La Evolución Humana Carretera Madrid Irun ,23.748,09002
251, Catedral de Burgos ,23.087,09003
252, Plaza de La Libertad Av. Arlanzón ,29.428,09004
253, Plaza de España Plaza Francisco Sarmiento ,24.596,09005
254, Villatoro Cementerio San José ,24.549,09006
255, San Cristóbal Gamonal ,20.877,09007
256,resto Burgos,28.703,09
257, Valladolid ,24.349,47186
258, Centro Paseo Isabel La Católica Plaza España ,81.614,47001
259, Centro Universidad Plaza San Juan ,28.213,47002
260, Las Moreras Rondilla Hospital Centro San Miguel ,27.467,47003
261, Recoletos San Andrés Caño Argales ,28.278,47004
262, Plaza Circular Las Batallas ,20.859,47005
263, Paseo Zorrilla Cuatro de Marzo ,26.151,47006
264, Campo Grande Arco Ladrillo ,24.937,47007
265, Parque Alameda Covaresa ,26.286,47008
266, La Overuela Navabuena ,23.416,47009
267, Rondilla Santa Clara Barrio España ,18.863,47010
268, San Pablo Barrio España Barrio Belén Pilarica ,20.442,47011
269, Arcas Reales Pajarillos ,19.021,47012
270, Delicias ,19.236,47013
271, Parquesol Huerta Del Rey ,25.562,47014
272, Villa Del Prado ,27.663,47015
273, Parquesol ,30.46,47016
274,resto Valladolid,22.006,47
275, Albacete ,22.463,02003
276, San Antonio Abad  La Pajarita  Polígono de San Antón  Centro ,25.897,02001
277, Parque Sur Huerta de Marzo ,25.262,02002
278, Franciscanos ,23.203,02003
279, Fátima  Villacerrada ,19.833,02004
280, Industria  El Pilar  Feria  Ntra. Sra. de Cubas ,21.829,02005
281, San Pedro  Mortero  Pedro Lamata  Santa Teresa  Sepulcro Bolera  San Pablo ,21.27,02006
282, Campollano ,22.679,02007
283, La Estrella  La Milagrosa  Hermanos Falcó  Universidad ,23.403,02008
284, Aguas Nuevas ,20.914,02049
285,resto Albacete,19.068,02
286, Badalona ,22.911,08015
287, Casagemes ,28.813,08911
288, Badalona ,27.203,08912
289, La Salut ,19.726,08913
290, Centro ,19.341,08914
291, Morera ,22.783,08915
292, Mas Ram ,29.211,08916
293, Montigala ,21.6,08917
294, Sant Roc ,18.643,08918
295,resto Badalona,19.616,0891
296, Barcelona ,30.938,08019
297, Ciutat Vella El Raval ,19.974,08001
298, Barrio Gótico ,26.617,08002
299, Barceloneta y Sant Pere ,24.527,08003
300, Pueblo Seco ,23.099,08004
301, El Poblenou ,31.897,08005
302, Sant Gervasi ,41.785,08006
303, Passeig de Gràcia Rambla de Catalunya ,46.34,08007
304, Diagonal Provença ,47.282,08008
305, Dreta de L Eixample ,41.086,08009
306, Tetúan Urquinaona ,39.565,08010
307, Urgel Sant Antoni ,31.554,08011
308, Vila de Gracia ,30.316,08012
309, Glories Catalanes ,28.522,08013
310, Hostafrancs Sants ,26.968,08014
311, Sant Antoni ,29.537,08015
312, La Prosperitat Porta ,22.212,08016
313, Vallvidrera Tibidabo i Les Planes ,73.747,08017
314, Sant Martí ,27.889,08018
315, Diagonal Mar i El Front Maritim Del Poblenou ,27.664,08019
316, La Verneda i La Pau ,22.984,08020
317, Muntaner ,72.231,08021
318, Sant Gervasi La Bonanova ,51.993,08022
319, Vallcarca i Los Penitentes ,35.067,08023
320, Gracia La Salud ,28.948,08024
321, Sagrada Familia ,28.125,08025
322, El Clot ,25.538,08026
323, La Sagrera ,24.978,08027
324, Les Corts ,29.62,08028
325, L Nou Esquerra de L Eixample ,35.017,08029
326, Sant Andreu Bon Pastor ,25.475,08030
327, Vilapicina i La Torre Llobeta ,23.976,08031
328, El Carmelo El Guinardó ,24.471,08032
