,Country Code,City Code,Category Vertical,Store ID,Store Name
1,ES,MAD,Groceries,89037,Tienda Shell
2,ES,LER,Groceries,73384,La Sirena
3,ES,BCN,Groceries,104596,COOCCIO
4,ES,REU,Groceries,93150,Tu Tienda Galp
5,ES,CTL,Pharmacy,118511,Herbolario Navarro
6,ES,BCN,Shops,96171,Ibiza/Goa
7,ES,MAD,Groceries,166981,Sweet World
8,ES,MAD,Groceries,108852,Tu Tienda Depaso
9,ES,MAD,Groceries,171583,Odonnell Tienda 24 Horas
10,ES,GTX,Pharmacy,113658,Parafarmacia
11,ES,HEN,Shops,172423,Manitas Famaex
12,ES,ALM,Groceries,124972,Alcampo
13,ES,CLF,Groceries,189782,Agrobotiga Agro-Tast El Vendrell
14,ES,GIJ,Groceries,156864,Crivencar Gijón
15,ES,SIG,Groceries,196508,Bienestar Integral Sitges
16,ES,SEV,Shops,173530,Floristería Flores Ricardo
17,ES,SEV,Shops,209457,Erotik
18,ES,MAD,Shops,175138,Fnac
19,ES,EJI,Groceries,221966,Alimentación Tamara